SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Data Classification & Handling ,Media Sanitization Documentation,DCH-09.1,"Mechanisms exist to supervise, track, document and verify media sanitization and disposal actions. ",- Certificate of destruction,"Does the organization supervise, track, document and verify media sanitization and disposal actions? "
Data Classification & Handling ,Equipment Testing,DCH-09.2,Mechanisms exist to test sanitization equipment and procedures to verify that the intended result is achieved. ,,Does the organization test sanitization equipment and procedures to verify that the intended result is achieved? 
Data Classification & Handling ,Sanitization of Personal Data (PD),DCH-09.3,Mechanisms exist to facilitate the sanitization of Personal Data (PD).,- De-identifying PI,Does the organization facilitate the sanitization of Personal Data (PD)?
Data Classification & Handling ,First Time Use Sanitization,DCH-09.4,Mechanisms exist to apply nondestructive sanitization techniques to portable storage devices prior to first use.,,Does the organization apply nondestructive sanitization techniques to portable storage devices prior to first use?
Data Classification & Handling ,Dual Authorization for Sensitive Data Destruction,DCH-09.5,"Mechanisms exist to enforce dual authorization for the destruction, disposal or sanitization of digital media that contains sensitive / regulated data.",,"Does the organization enforce dual authorization for the destruction, disposal or sanitization of digital media that contains sensitive/regulated data?"
Data Classification & Handling ,Media Use,DCH-10,Mechanisms exist to restrict the use of types of digital media on systems or system components. ,,Does the organization restrict the use of types of digital media on systems or system components? 
Data Classification & Handling ,Limitations on Use ,DCH-10.1,Mechanisms exist to restrict the use and distribution of sensitive / regulated data. ,,Does the organization restrict the use and distribution of sensitive/regulated data? 
Data Classification & Handling ,Prohibit Use Without Owner,DCH-10.2,Mechanisms exist to prohibit the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,,Does the organization prohibit the use of portable storage devices in organizational information systems when such devices have no identifiable owner?
Data Classification & Handling ,Data Reclassification ,DCH-11,"Mechanisms exist to reclassify data, including associated systems, applications and services, commensurate with the security category and/or classification level of the information.",,"Does the organization reclassify data, including associated systems, applications and services, commensurate with the security category and/or classification level of the information?"
Data Classification & Handling ,Removable Media Security,DCH-12,Mechanisms exist to restrict removable media in accordance with data handling and acceptable usage parameters.,,Does the organization restrict removable media in accordance with data handling and acceptable usage parameters?
Data Classification & Handling ,Use of External Information Systems ,DCH-13,"Mechanisms exist to govern how external parties, systems and services are used to securely store, process and transmit data. ",,"Does the organization govern how external parties, systems and services are used to securely store, process and transmit data? "
Data Classification & Handling ,Limits of Authorized Use ,DCH-13.1,"Mechanisms exist to prohibit external parties, systems and services from storing, processing and transmitting data unless authorized individuals first: 
 ▪ Verifying the implementation of required security controls; or
 ▪ Retaining a processing agreement with the entity hosting the external systems or service.",,"Does the organization prohibit external parties, systems and services from storing, processing and transmitting data unless authorized individuals first: 
 ▪ Verifying the implementation of required security controls; or
 ▪ Retaining a processing agreement with the entity hosting the external systems or service?"
Data Classification & Handling ,Portable Storage Devices,DCH-13.2,Mechanisms exist to restrict or prohibit the use of portable storage devices by users on external systems. ,,Does the organization restrict or prohibit the use of portable storage devices by users on external systems? 
Data Classification & Handling ,Protecting Sensitive Data on External Systems,DCH-13.3,"Mechanisms exist to ensure that the requirements for the protection of sensitive information processed, stored or transmitted on external systems, are implemented in accordance with applicable statutory, regulatory and contractual obligations.",- NIST 800-171 Compliance Criteria (NCC) (ComplianceForge),"Does the organization ensure that the requirements for the protection of sensitive information processed, stored or transmitted on external systems, are implemented in accordance with applicable statutory, regulatory and contractual obligations?"
Data Classification & Handling ,Non-Organizationally Owned Systems / Components / Devices,DCH-13.4,"Mechanisms exist to restrict the use of non-organizationally owned information systems, system components or devices to process, store or transmit organizational information.",,"Does the organization restrict the use of non-organizationally owned information systems, system components or devices to process, store or transmit organizational information?"
Data Classification & Handling ,Information Sharing ,DCH-14,Mechanisms exist to utilize a process to assist users in making information sharing decisions to ensure data is appropriately protected.,"- ShareFile
- SmartVault
- Veris (incident sharing) (http://veriscommunity.net)",Does the organization utilize a process to assist users in making information sharing decisions to ensure data is appropriately protected?
Data Classification & Handling ,Information Search & Retrieval,DCH-14.1,Mechanisms exist to ensure information systems implement data search and retrieval functions that properly enforce data protection / sharing restrictions.,,Does the organization ensure information systems implement data search and retrieval functions that properly enforce data protection / sharing restrictions?
Data Classification & Handling ,Transfer Authorizations,DCH-14.2,"Mechanisms exist to verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (e.g., write permissions or privileges) prior to transferring said data.",,"Does the organization verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (e.g., write permissions or privileges) prior to accepting such data?"
Data Classification & Handling ,Data Access Mapping,DCH-14.3,Mechanisms exist to develop a data-specific Access Control List (ACL) or Data Information Sharing Agreement (DISA) to determine the personnel with whom sensitive/regulated data is shared.,,Does the organization develop a data-specific Access Control List (ACL) or Data Information Sharing Agreement (DISA) to determine the personnel with whom sensitive/regulated data is shared?
Data Classification & Handling ,Publicly Accessible Content,DCH-15,Mechanisms exist to control publicly-accessible content.,"- Designate individuals authorized to post information onto systems that are publicly accessible.
- Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information.
- Review the proposed content of publicly accessible information for nonpublic information prior to posting.
- Remove nonpublic information from the publicly accessible system.",Does the organization control publicly-accessible content?
Data Classification & Handling ,Data Mining Protection,DCH-16,Mechanisms exist to protect data storage objects against unauthorized data mining and data harvesting techniques. ,,Does the organization protect data storage objects against unauthorized data mining and data harvesting techniques? 
Data Classification & Handling ,Ad-Hoc Transfers ,DCH-17,Mechanisms exist to secure ad-hoc exchanges of large digital files with internal or external parties.,"- ShareFile
- Box",Does the organization secure ad-hoc exchanges of large digital files with internal or external parties?
Data Classification & Handling ,Media & Data Retention ,DCH-18,"Mechanisms exist to retain media and data in accordance with applicable statutory, regulatory and contractual obligations. ",- Data Protection Impact Assessment (DPIA),"Does the organization retain media and data in accordance with applicable statutory, regulatory and contractual obligations? "
Data Classification & Handling ,Minimize Personal Data (PD),DCH-18.1,Mechanisms exist to limit Personal Data (PD) being processed in the information lifecycle to elements identified in the Data Protection Impact Assessment (DPIA).,- Data Protection Impact Assessment (DPIA),Does the organization limit Personal Data (PD) being processed in the information lifecycle to elements identified in the Data Protection Impact Assessment (DPIA)?
Data Classification & Handling ,"Limit Personal Data (PD) Elements In Testing, Training & Research",DCH-18.2,"Mechanisms exist to minimize the use of Personal Data (PD) for research, testing, or training, in accordance with the Data Protection Impact Assessment (DPIA).",- Data Protection Impact Assessment (DPIA),"Does the organization minimize the use of Personal Data (PD) for research, testing, or training, in accordance with the Data Protection Impact Assessment (DPIA)?"
Data Classification & Handling ,Temporary Files Containing Personal Data (PD),DCH-18.3,Mechanisms exist to perform periodic checks of temporary files for the existence of Personal Data (PD).,,Does the organization perform periodic checks of temporary files for the existence of Personal Data (PD)?
Data Classification & Handling ,Geographic Location of Data,DCH-19,"Mechanisms exist to inventory, document and maintain data flows for data that is resident (permanently or temporarily) within a service's geographically distributed applications (physical and virtual), infrastructure, systems components and/or shared with other third-parties.",,"Does the organization inventory, document and maintain data flows for data that is resident (permanently or temporarily) within a service's geographically distributed applications (physical and virtual), infrastructure, systems components and/or shared with other third-parties?"
Data Classification & Handling ,Archived Data Sets ,DCH-20,"Mechanisms exist to protect archived data in accordance with applicable statutory, regulatory and contractual obligations. ",,"Does the organization protect archived data in accordance with applicable statutory, regulatory and contractual obligations? "
Data Classification & Handling ,Information Disposal,DCH-21,"Mechanisms exist to securely dispose of, destroy or erase information.","- Shred-it
- IronMountain","Does the organization securely dispose of, destroy or erase information?"
Data Classification & Handling ,Data Quality Operations,DCH-22,"Mechanisms exist to check for the accuracy, relevance, timeliness, impact, completeness and de-identification of information across the information lifecycle.",- Data Protection Impact Assessment (DPIA),"Does the organization check for the accuracy, relevance, timeliness, impact, completeness and de-identification of information across the information lifecycle?"
Data Classification & Handling ,Updating & Correcting Personal Data (PD),DCH-22.1,"Mechanisms exist to utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified.",- Data Protection Impact Assessment (DPIA),"Does the organization utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified?"
Data Classification & Handling ,Data Tags,DCH-22.2,Mechanisms exist to utilize data tags to automate tracking of sensitive/regulated data across the information lifecycle.,- Data Protection Impact Assessment (DPIA),Does the organization utilize data tags to automate tracking of Personal Data (PD) across the information lifecycle?
Data Classification & Handling ,Primary Source Personal Data (PD) Collection,DCH-22.3,Mechanisms exist to collect Personal Data (PD) directly from the individual. ,- Data Protection Impact Assessment (DPIA),Does the organization collect Personal Data (PD) directly from the individual? 
Data Classification & Handling ,De-Identification (Anonymization),DCH-23,Mechanisms exist to anonymize data by removing Personal Data (PD) from datasets.,- Data Protection Impact Assessment (DPIA),Does the organization remove Personal Data (PD) from datasets?
Data Classification & Handling ,De-Identify Dataset Upon Collection,DCH-23.1,Mechanisms exist to de-identify the dataset upon collection by not collecting Personal Data (PD).,- Data Protection Impact Assessment (DPIA),Does the organization de-identify the dataset upon collection by not collecting Personal Data (PD)?
Data Classification & Handling ,Archiving,DCH-23.2,Mechanisms exist to refrain from archiving Personal Data (PD) elements if those elements in a dataset will not be needed after the dataset is archived.,- Data Protection Impact Assessment (DPIA),Does the organization refrain from archiving Personal Data (PD) elements if those elements in a dataset will not be needed after the dataset is archived?
Data Classification & Handling ,Release,DCH-23.3,Mechanisms exist to remove Personal Data (PD) elements from a dataset prior to its release if those elements in the dataset do not need to be part of the data release.,- Data Protection Impact Assessment (DPIA),Does the organization remove Personal Data (PD) elements from a dataset prior to its release if those elements in the dataset do not need to be part of the data release?
Data Classification & Handling ,"Removal, Masking, Encryption, Hashing or Replacement of Direct Identifiers",DCH-23.4,"Mechanisms exist to remove, mask, encrypt, hash or replace direct identifiers in a dataset.",- Data Protection Impact Assessment (DPIA),"Does the organization remove, mask, encrypt, hash or replace direct identifiers in a dataset?"
Data Classification & Handling ,Statistical Disclosure Control,DCH-23.5,"Mechanisms exist to manipulate numerical data, contingency tables and statistical findings so that no person or organization is identifiable in the results of the analysis.",,"Does the organization manipulate numerical data, contingency tables and statistical findings so that no person or organization is identifiable in the results of the analysis?"
Data Classification & Handling ,Differential Privacy,DCH-23.6,Mechanisms exist to prevent disclosure of Personal Data (PD) by adding non-deterministic noise to the results of mathematical operations before the results are reported.,- Data Protection Impact Assessment (DPIA),Does the organization prevent disclosure of Personal Data (PD) by adding non-deterministic noise to the results of mathematical operations before the results are reported?
Data Classification & Handling ,Automated De-Identification of Sensitive Data,DCH-23.7,"Mechanisms exist to perform de-identification of sensitive/regulated data, using validated algorithms and software to implement the algorithms.",- Data Protection Impact Assessment (DPIA),Does the organization perform de-identification using validated algorithms and software to implement the algorithms?
Data Classification & Handling ,Motivated Intruder,DCH-23.8,Mechanisms exist to perform a motivated intruder test on the de-identified dataset to determine if the identified data remains or if the de-identified data can be re-identified.,,Does the organization perform a motivated intruder test on the de-identified dataset to determine if the identified data remains or if the de-identified data can be re-identified?
Data Classification & Handling ,Code Names,DCH-23.9,"Mechanisms exist to use aliases to name assets, which are mission-critical and/or contain highly-sensitive/regulated data, are unique and not readily associated with a product, project or type of data.",,"Does the organization use aliases to name assets, which are mission-critical and/or contain highly-sensitive/regulated data, are unique and not readily associated with a product, project or type of data?"
Data Classification & Handling ,Information Location,DCH-24,Mechanisms exist to identify and document the location of information and the specific system components on which the information resides.,- Data Flow Diagram (DFD),Does the organization identify and document the location of information and the specific system components on which the information resides?
Data Classification & Handling ,Automated Tools to Support Information Location,DCH-24.1,Automated mechanisms exist to identify by data classification type to ensure adequate cybersecurity and privacy controls are in place to protect organizational information and individual privacy.,,Does the organization use automated mechanisms to identify by data classification type to ensure adequate cybersecurity and privacy controls are in place to protect organizational information and individual privacy?
Data Classification & Handling ,Transfer of Sensitive and/or Regulated Data,DCH-25,Mechanisms exist to restrict and govern the transfer of sensitive and/or regulated data to third-countries or international organizations.,"- Model contracts
- Privacy Shield
- Binding Corporate Rules (BCR)",Does the organization restrict and govern the transfer of data to third-countries or international organizations?
Data Classification & Handling ,Transfer Activity Limits,DCH-25.1,"Mechanisms exist to establish organization-defined ""normal business activities"" to identify anomalous transaction activities that can reduce the opportunity for sending (outbound) and/or receiving (inbound) fraudulent actions.",,"Does the organization establish organization-defined ""normal business activities"" to identify anomalous transaction activities that can reduce the opportunity for sending (outbound) and/or receiving (inbound) fraudulent actions?"
Data Classification & Handling ,Data Localization,DCH-26,"Mechanisms exist to constrain the impact of ""digital sovereignty laws,"" that require localized data within the host country, where data and processes may be subjected to arbitrary enforcement actions that potentially violate other applicable statutory, regulatory and/or contractual obligations.",- Board of Directors (Bod) Ethics Committee,"Does the organization constrain the impact of ""digital sovereignty laws,"" that require localized data within the host country, where data and processes may be subjected to arbitrary enforcement actions that potentially violate other applicable statutory, regulatory and/or contractual obligations?"
Embedded Technology ,Embedded Technology Security Program ,EMB-01,Mechanisms exist to facilitate the implementation of embedded technology controls. ,,Does the organization facilitate the implementation of embedded technology controls? 
Embedded Technology ,Internet of Things (IOT) ,EMB-02,Mechanisms exist to proactively manage the cybersecurity and privacy risks associated with Internet of Things (IoT).,,Does the organization proactively manage the cybersecurity and privacy risks associated with Internet of Things (IoT)?
Embedded Technology ,Operational Technology (OT) ,EMB-03,Mechanisms exist to proactively manage the cybersecurity and privacy risks associated with Operational Technology (OT).,,Does the organization proactively manage the cybersecurity and privacy risks associated with Operational Technology (OT)?
Embedded Technology ,Interface Security,EMB-04,Mechanisms exist to protect embedded devices against unauthorized use of the physical factory diagnostic and test interface(s).,,"Does the organization protect embedded devices against unauthorized use of the physical factory diagnostic
and test interface(s)?"
Embedded Technology ,Embedded Technology Configuration Monitoring,EMB-05,Mechanisms exist to generate log entries on embedded devices when configuration changes or attempts to access interfaces are detected.,,Does the organization generate log entries on embedded devices when configuration changes or attempts to access interfaces are detected?
Embedded Technology ,Prevent Alterations,EMB-06,Mechanisms exist to protect embedded devices by preventing the unauthorized installation and execution of software.,,Does the organization protect embedded devices by preventing the unauthorized installation and execution of software?
Embedded Technology ,Embedded Technology Maintenance,EMB-07,Mechanisms exist to securely update software and upgrade functionality on embedded devices.,,Does the organization securely updating software and upgrading functionality on embedded devices?
Embedded Technology ,Resilience To Outages,EMB-08,Mechanisms exist to configure embedded technology to be resilient to data network and power outages.,,Does the organization configure embedded technology to be resilient to outages of data networks and power?
Embedded Technology ,Power Level Monitoring,EMB-09,"Automated mechanisms exist to monitor the power levels of embedded technologies for decreased or excessive power usage, including battery drainage, to investigate for device tampering.",,"Does the organization continuously monitor the power levels of embedded technologies for decreased or excessive power usage, including battery drainage, to investigate for device tampering?"
Embedded Technology ,Embedded Technology Reviews,EMB-10,"Mechanisms exist to perform evaluations of deployed embedded technologies as needed, or at least on an annual basis, to ensure that necessary updates to mitigate the risks associated with legacy embedded technologies are identified and implemented.",,"Does the organization perform evaluations of deployed embedded technologies as needed, or at least on an annual basis, to ensure that necessary updates to mitigate the risks associated with legacy embedded technologies are identified and implemented?"
Embedded Technology ,Message Queuing Telemetry Transport (MQTT) Security,EMB-11,Mechanisms exist to enforce the security of Message Queuing Telemetry Transport (MQTT) traffic.,,Does the organization enforce the security of Message Queuing Telemetry Transport (MQTT) traffic?
Embedded Technology ,Restrict Communications,EMB-12,"Mechanisms exist to require embedded technologies to initiate all communications and drop new, incoming communications.",,"Does the organization require embedded technologies to initiate all communications and drop new, incoming communications?"
Embedded Technology ,Authorized Communications,EMB-13,Mechanisms exist to restrict embedded technologies to communicate only with authorized peers and service endpoints.,,Does the organization restrict embedded technologies to communicate only with authorized peers and service endpoints?
Embedded Technology ,Operating Environment Certification,EMB-14,Mechanisms exist to determine if embedded technologies are certified for secure use in the proposed operating environment.,,Does the organization determine if embedded technologies are certified for use in the proposed operating environment?
Embedded Technology ,Safety Assessment,EMB-15,"Mechanisms exist to evaluate the safety aspects of embedded technologies via a fault tree analysis, or similar method, to determine possible consequences of misuse, misconfiguration and/or failure.",,"Does the organization evaluate the safety aspects of embedded technologies via a fault tree analysis, or similar method, to determine possible consequences of misuse, misconfiguration and/or failure?"
Embedded Technology ,Certificate-Based Authentication,EMB-16,"Mechanisms exist to enforce certificate-based authentication for embedded technologies (e.g., IoT, OT, etc.) and their supporting services.",,"Does the organization enforce certificate-based authentication for embedded technologies (e.g., IoT, OT, etc.) and their supporting services?"
Embedded Technology ,Chip-To-Cloud Security,EMB-17,Mechanisms exist to implement embedded technologies that utilize pre-provisioned cloud trust anchors to support secure bootstrap and Zero Touch Provisioning (ZTP).,,Does the organization implement embedded technologies that utilize pre-provisioned cloud trust anchors to support secure bootstrap and Zero Touch Provisioning (ZTP)?
Embedded Technology ,Real-Time Operating System (RTOS) Security,EMB-18,Mechanisms exist to ensure embedded technologies utilize a securely configured Real-Time Operating System (RTOS).,,Does the organization ensure embedded technologies utilize a securely configured Real-Time Operating System (RTOS)?
Embedded Technology ,Safe Operations,EMB-19,Mechanisms exist to continuously validate autonomous systems that trigger an automatic state change when safe operation is no longer assured.,,Does the organization continuously validate autonomous systems that trigger an automatic state change when safe operation is no longer assured?
Endpoint Security,Endpoint Security ,END-01,Mechanisms exist to facilitate the implementation of endpoint security controls.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Group Policy Objects (GPOs)
- Antimalware technologies
- Software firewalls
- Host-based IDS/IPS technologies
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization facilitate the implementation of endpoint security controls?
Endpoint Security,Endpoint Protection Measures ,END-02,"Mechanisms exist to protect the confidentiality, integrity, availability and safety of endpoint devices.","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization protect the confidentiality, integrity, availability and safety of endpoint devices?"
Endpoint Security,Prohibit Installation Without Privileged Status ,END-03,Automated mechanisms exist to prohibit software installations without explicitly assigned privileged status. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Removal of local admin rights
- Privileged Account Management (PAM)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization prohibit user installation of software without explicitly assigned privileged status? 
Endpoint Security,Software Installation Alerts,END-03.1,Mechanisms exist to generate an alert when new software is detected. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization alert personnel when an unauthorized installation of software is detected? 
Endpoint Security,Governing Access Restriction for Change,END-03.2,"Mechanisms exist to define, document, approve and enforce access restrictions associated with changes to systems.",- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),"Does the organization define, document, approve and enforce access restrictions associated with changes to systems?"
Endpoint Security,Malicious Code Protection (Anti-Malware) ,END-04,Mechanisms exist to utilize antimalware technologies to detect and eradicate malicious code.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Antimalware software
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization utilize antimalware technologies to detect and eradicate malicious code?
