SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Cybersecurity & Privacy Governance,Key Risk Indicators (KRIs),GOV-05.2,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and privacy program.",- Key Risk Indicators (KRIs),"Does the organization develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and privacy program?"
Cybersecurity & Privacy Governance,Contacts With Authorities ,GOV-06,Mechanisms exist to identify and document appropriate contacts with relevant law enforcement and regulatory bodies.,"- Threat intelligence personnel
- Integrated Security Incident Response Team (ISIRT)",Does the organization identify and document appropriate contacts within relevant law enforcement and regulatory bodies?
Cybersecurity & Privacy Governance,Contacts With Groups & Associations ,GOV-07,"Mechanisms exist to establish contact with selected groups and associations within the cybersecurity & privacy communities to: 
 ▪ Facilitate ongoing cybersecurity and privacy education and training for organizational personnel;
 ▪ Maintain currency with recommended cybersecurity and privacy practices, techniques and technologies; and
 ▪ Share current security-related information including threats, vulnerabilities and incidents.
","- SANS
- CISO Executive Network
- ISACA chapters
- IAPP chapters
- ISAA chapters","Does the organization establish contact with selected groups and associations within the cybersecurity & privacy communities to: 
 ▪ Facilitate ongoing cybersecurity and privacy education and training for organizational personnel;
 ▪ Maintain currency with recommended cybersecurity and privacy practices, techniques and technologies; and
 ▪ Share current security-related information including threats, vulnerabilities and incidents?
"
Cybersecurity & Privacy Governance,Defining Business Context & Mission,GOV-08,Mechanisms exist to define the context of its business model and document the mission of the organization.,,Does the organization define the context of its business model and document the mission of the organization?
Cybersecurity & Privacy Governance,Define Control Objectives,GOV-09,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization’s internal control system.",,"Does the organization establish control objectives as the basis for the selection, implementation and management of the organization’s internal control system?"
Cybersecurity & Privacy Governance,Data Governance,GOV-10,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.",,Does the organization establish data governance across the organization?
Cybersecurity & Privacy Governance,Purpose Validation,GOV-11,Mechanisms exist to monitor mission/business-critical services or functions to ensure those resources are being used consistent with their intended purpose.,,Does the organization analyze supporting mission essential services or functions to ensure those resources are being used consistent with their intended purpose?
Cybersecurity & Privacy Governance,Forced Technology Transfer (FTT),GOV-12,"Mechanisms exist to avoid and/or constrain the forced exfiltration of sensitive / regulated information (e.g., Intellectual Property (IP)) to the host government for purposes of market access or market management practices.",- Board of Directors (Bod) Ethics Committee,"Does the organization avoid and/or constrain the forced exfiltration of sensitive / regulated information (e.g., Intellectual Property (IP)) to the host government for purposes of market access or market management practices?"
Cybersecurity & Privacy Governance,State-Sponsored Espionage,GOV-13,Mechanisms exist to constrain the host government's ability to leverage the organization's technology assets for economic or political espionage and/or cyberwarfare activities. ,- Board of Directors (Bod) Ethics Committee,Does the organization constrain the host government's ability to leverage the organization's technology assets for economic or political espionage and/or cyberwarfare activities?
Cybersecurity & Privacy Governance,Business As Usual (BAU) Secure Practices,GOV-14,Mechanisms exist to incorporate cybersecurity and privacy principles into Business As Usual (BAU) practices through executive leadership involvement.,,Does the organization incorporate cybersecurity and privacy principles into Business As Usual (BAU) practices through executive leadership involvement?
Cybersecurity & Privacy Governance,Operationalizing Cybersecurity & Privacy Practices,GOV-15,"Mechanisms exist to compel data and/or process owners to operationalize cybersecurity and privacy practices for each system, application and/or service under their control.",,"Does the organization compel data and/or process owners to operationalize cybersecurity and privacy practices for each system, application and/or service under their control?"
Cybersecurity & Privacy Governance,Select Controls,GOV-15.1,"Mechanisms exist to compel data and/or process owners to select required cybersecurity and privacy controls for each system, application and/or service under their control.",,"Does the organization compel data and/or process owners to select required cybersecurity and privacy controls for each system, application and/or service under their control?"
Cybersecurity & Privacy Governance,Implement Controls,GOV-15.2,"Mechanisms exist to compel data and/or process owners to implement required cybersecurity and privacy controls for each system, application and/or service under their control.",,"Does the organization compel data and/or process owners to implement required cybersecurity and privacy controls for each system, application and/or service under their control?"
Cybersecurity & Privacy Governance,Assess Controls,GOV-15.3,"Mechanisms exist to compel data and/or process owners to assess if required cybersecurity and privacy controls for each system, application and/or service under their control are implemented correctly and are operating as intended.",,"Does the organization compel data and/or process owners to assess if required cybersecurity and privacy controls for each system, application and/or service under their control are implemented correctly and are operating as intended?"
Cybersecurity & Privacy Governance,"Authorize Systems, Applications & Services",GOV-15.4,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each system, application and/or service under their control.",,"Does the organization compel data and/or process owners to obtain authorization for the production use of each system, application and/or service under their control?"
Cybersecurity & Privacy Governance,Monitor Controls,GOV-15.5,"Mechanisms exist to compel data and/or process owners to monitor systems, applications and/or services under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity and privacy controls are operating as intended.",,"Does the organization compel data and/or process owners to monitor systems, applications and/or services under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity and privacy controls are operating as intended?"
Artificial & Autonomous Technologies,Artificial Intelligence (AI) & Autonomous Technologies Governance,AAT-01,"Mechanisms exist to ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively.",,"Does the organization ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies-Related Legal Requirements Definition,AAT-01.1,"Mechanisms exist to identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT).",,"Does the organization identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT)"
Artificial & Autonomous Technologies,Trustworthy AI & Autonomous Technologies,AAT-01.2,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and privacy-enhanced to minimize emergent properties or unintended consequences.",,"Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and privacy-enhanced to minimize emergent properties or unintended consequences?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Value Sustainment,AAT-01.3,Mechanisms exist to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)
Artificial & Autonomous Technologies,Situational Awareness of AI & Autonomous Technologies,AAT-02,Mechanisms exist to develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party).,,Does the organization develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party)?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Risk Mapping,AAT-02.1,"Mechanisms exist to identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements.",,"Does the organization identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Internal Controls,AAT-02.2,Mechanisms exist to identify and document internal cybersecurity and privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization identify and document internal cybersecurity and privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Context Definition,AAT-03,"Mechanisms exist to establish and document the context surrounding Artificial Intelligence (AI) and Autonomous Technologies (AAT), including:
 ▪ Intended purposes;
 ▪ Potentially beneficial uses;
 ▪ Context-specific laws and regulations;
 ▪ Norms and expectations; and
 ▪ Prospective settings in which the system(s) will be deployed.",,"Does the organization establish and document the context surrounding Artificial Intelligence (AI) and Autonomous Technologies (AAT), including:
 ▪ Intended purposes;
 ▪ Potentially beneficial uses;
 ▪ Context-specific laws and regulations;
 ▪ Norms and expectations; and
 ▪ Prospective settings in which the system(s) will be deployed?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Mission and Goals Definition,AAT-03.1,Mechanisms exist to define and document the organization’s mission and defined goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization define and document the organization’s mission and defined goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Business Case,AAT-04,"Mechanisms exist to benchmark capabilities, targeted usage, goals and expected benefits and costs of Artificial Intelligence (AI) and Autonomous Technologies (AAT).",,"Does the organization benchmark capabilities, targeted usage, goals and expected benefits and costs of Artificial Intelligence (AI) and Autonomous Technologies (AAT)"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Potential Benefits Analysis,AAT-04.1,Mechanisms exist to assess the potential benefits of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization assess the potential benefits of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Potential Costs Analysis,AAT-04.2,"Mechanisms exist to assess potential costs, including non-monetary costs, resulting from expected or realized Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related errors or system functionality and trustworthiness.",,"Does the organization assess potential costs, including non-monetary costs, resulting from expected or realized Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related errors or system functionality and trustworthiness?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Targeted Application Scope,AAT-04.3,Mechanisms exist to specify and document the targeted application scope of the proposed use and operation of Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization specify and document the targeted application scope of the proposed use and operation of Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Cost / Benefit Mapping,AAT-04.4,"Mechanisms exist to map risks and benefits for all components of Artificial Intelligence (AI) and Autonomous Technologies (AAT), including third-party software and data.",,"Does the organization map risks and benefits for all components of Artificial Intelligence (AI) and Autonomous Technologies (AAT), including third-party software and data?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Training,AAT-05,Mechanisms exist to ensure personnel and external stakeholders are provided with position-specific risk management training for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization ensure personnel and external stakeholders are provided with position-specific risk management training for Artificial Intelligence (AI) and Autonomous Technologies (AAT)
Artificial & Autonomous Technologies,AI & Autonomous Technologies Fairness & Bias,AAT-06,"Mechanisms exist to prevent Artificial Intelligence (AI) and Autonomous Technologies (AAT) from unfairly identifying, profiling and/or statistically singling out a segmented population defined by race, religion, gender identity, national origin, religion, disability or any other politically-charged identifier.",,"Does the organization prevent Artificial Intelligence (AI) and Autonomous Technologies (AAT) from unfairly identifying, profiling and/or statistically singling out a segmented population defined by race, religion, gender identity, national origin, religion, disability or any other politically-charged identifier?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Risk Management Decisions,AAT-07,"Mechanisms exist to leverage decision makers from a diversity of demographics, disciplines, experience, expertise and backgrounds for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks.",,"Does the organization leverage decision makers from a diversity of demographics, disciplines, experience, expertise and backgrounds for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Impact Characterization,AAT-07.1,"Mechanisms exist to characterize the impacts of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on individuals, groups, communities, organizations and society.",,"Does the organization characterize the impacts of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on individuals, groups, communities, organizations and society?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Likelihood & Impact Risk Analysis,AAT-07.2,Mechanisms exist to define the potential likelihood and impact of each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts.,,Does the organization define the potential likelihood and impact of each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Continuous Improvements,AAT-07.3,Mechanisms exist to continuously improve Artificial Intelligence (AI) and Autonomous Technologies (AAT) capabilities to maximize benefits and minimize negative impacts associated with AAT.,,Does the organization continuously improve Artificial Intelligence (AI) and Autonomous Technologies (AAT) capabilities to maximize benefits and minimize negative impacts associated with AAT?
Artificial & Autonomous Technologies,Assigned Responsibilities for AI & Autonomous Technologies,AAT-08,Mechanisms exist to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems.,,Does the organization define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Risk Profiling,AAT-09,"Mechanisms exist to document the risks and potential impacts of Artificial Intelligence (AI) and Autonomous Technologies (AAT) designed, developed, deployed, evaluated and used.",,"Does the organization document the risks and potential impacts of Artificial Intelligence (AI) and Autonomous Technologies (AAT) designed, developed, deployed, evaluated and used?"
Artificial & Autonomous Technologies,"Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) ",AAT-10,"Mechanisms exist to implement Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices to enable Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related testing, identification of incidents and information sharing.",,"Does the organization implement Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices to enable Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related testing, identification of incidents and information sharing?"
Artificial & Autonomous Technologies,AI TEVV Trustworthiness Assessment,AAT-10.1,"Mechanisms exist to evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT) for trustworthy behavior and operation including security, anonymization and disaggregation of captured and stored data for approved purposes.",,"Does the organization evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT) for trustworthy behavior and operation including security, anonymization and disaggregation of captured and stored data for approved purposes?"
Artificial & Autonomous Technologies,AI TEVV Tools,AAT-10.2,"Mechanisms exist to document test sets, metrics and details about the tools used during Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices.",,"Does the organization document test sets, metrics and details about the tools used during AI TEVV?"
Artificial & Autonomous Technologies,AI TEVV Trustworthiness Demonstration,AAT-10.3,"Mechanisms exist to demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed is valid, reliable and operate as intended based on approved designs.",,"Does the organization demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed is valid, reliable and operate as intended based on approved designs.?"
Artificial & Autonomous Technologies,AI TEVV Safety Demonstration,AAT-10.4,"Mechanisms exist to demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed are safe, residual risk does not exceed the organization's risk tolerance and can fail safely, particularly if made to operate beyond its knowledge limits.",,"Does the organization demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed are safe, residual risk does not exceed the organization's risk tolerance and can fail safely, particularly if made to operate beyond its knowledge limits?"
Artificial & Autonomous Technologies,AI TEVV Resiliency Assessment,AAT-10.5,Mechanisms exist to evaluate the security and resilience of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,,Does the organization evaluate the security and resilience of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?
Artificial & Autonomous Technologies,AI TEVV Transparency & Accountability Assessment,AAT-10.6,Mechanisms exist to examine risks associated with transparency and accountability of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,,Does the organization examine risks associated with transparency and accountability of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?
Artificial & Autonomous Technologies,AI TEVV Privacy Assessment,AAT-10.7,Mechanisms exist to examine the privacy risk of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,,Does the organization examine the privacy risk of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?
Artificial & Autonomous Technologies,AI TEVV Fairness & Bias Assessment,AAT-10.8,Mechanisms exist to examine fairness and bias of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,,Does the organization examine fairness and bias of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Model Validation,AAT-10.9,Mechanisms exist to validate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) model.,,Does the organization validate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) model?
Artificial & Autonomous Technologies,AI TEVV Results Evaluation,AAT-10.10,"Mechanisms exist to evaluate the results of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) to determine the viability of the proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",,Does the organization evaluate the results of AI TEVV to determine the viability of the proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,AI TEVV Effectiveness,AAT-10.11,"Mechanisms exist to evaluate the effectiveness of the processes utilized to perform Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV).",,Does the organization evaluate the effectiveness of the processes utilized to perform AI TEVV?
Artificial & Autonomous Technologies,AI TEVV Comparable Deployment Settings,AAT-10.12,Mechanisms exist to evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related performance or the assurance criteria demonstrated for conditions similar to deployment settings.,,Does the organization evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related performance or the assurance criteria demonstrated for conditions similar to deployment settings?
Artificial & Autonomous Technologies,AI TEVV Post-Deployment Monitoring,AAT-10.13,Mechanisms exist to proactively and continuously monitor deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization proactively monitor deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,Updating AI & Autonomous Technologies,AAT-10.14,Mechanisms exist to integrate continual improvements for deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization integrate continual improvements for deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,Robust Stakeholder Engagement for AI & Autonomous Technologies,AAT-11,"Mechanisms exist to compel ongoing engagement with relevant Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders to encourage feedback about positive, negative and unanticipated impacts.",,"Does the organization compel ongoing engagement with relevant Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders to encourage feedback about positive, negative and unanticipated impacts?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Stakeholder Feedback Integration,AAT-11.1,"Mechanisms exist to regularly collect, consider, prioritize and integrate risk-related feedback from those external to the team that developed or deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",,"Does the organization regularly collect, consider, prioritize and integrate risk-related feedback from those external to the team that developed or deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Ongoing Assessments,AAT-11.2,Mechanisms exist to conduct regular assessments of Artificial Intelligence (AI) and Autonomous Technologies (AAT) with independent assessors and stakeholders not involved in the development of the AAT.,,Does the organization conduct regular assessments of Artificial Intelligence (AI) and Autonomous Technologies (AAT) with independent assessors and stakeholders not involved in the development of the AAT?
Artificial & Autonomous Technologies,AI & Autonomous Technologies End User Feedback,AAT-11.3,Mechanisms exist to collect and integrate feedback from end users and impacted communities into Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related system evaluation metrics.,,Does the organization collect and integrate feedback from end users and impacted communities into Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related system evaluation metrics?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Incident & Error Reporting,AAT-11.4,"Mechanisms exist to communicate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related incidents and/or errors to relevant stakeholders, including affected communities. ",,"Does the organization communicate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related incidents and/or errors to relevant stakeholders, including affected communities? "
Artificial & Autonomous Technologies,AI & Autonomous Technologies Intellectual Property Infringement Protections,AAT-12,Mechanisms exist to identify data sources for Artificial Intelligence (AI) and Autonomous Technologies (AAT) to prevent third-party Intellectual Property (IP) rights infringement.,,Does the organization identify data sources for Artificial Intelligence (AI) and Autonomous Technologies (AAT) to prevent third-party Intellectual Property (IP) rights infringement?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Stakeholder Diversity,AAT-13,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholder competencies, skills and capacities incorporate demographic diversity, broad domain and user experience expertise.",,"Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholder competencies, skills and capacities incorporate demographic diversity, broad domain and user experience expertise?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Stakeholder Competencies,AAT-13.1,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related operator and practitioner proficiency requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are defined, assessed and documented.",,"Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related operator and practitioner proficiency requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are defined, assessed and documented?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Requirements Definitions,AAT-14,Mechanisms exist to take socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization take socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Implementation Tasks Definition,AAT-14.1,"Mechanisms exist to define the tasks that Artificial Intelligence (AI) and Autonomous Technologies (AAT) will support (e.g., classifiers, generative models, recommenders).",,"Does the organization define the tasks that Artificial Intelligence (AI) and Autonomous Technologies (AAT) will support (e?g?, classifiers, generative models, recommenders)?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Knowledge Limits,AAT-14.2,Mechanisms exist to identify and document knowledge limits of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to provide sufficient information to assist relevant stakeholder decision making.,,Does the organization identify and document knowledge limits of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to provide sufficient information to assist relevant stakeholder decision making?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Viability Decisions,AAT-15,Mechanisms exist to define the criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives to determine whether its development or deployment should proceed.,,Does the organization define the criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives to determine whether its development or deployment should proceed?
Artificial & Autonomous Technologies,AI & Autonomous Technologies Negative Residual Risks,AAT-15.1,"Mechanisms exist to identify and document negative, residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers and end users of Artificial Intelligence (AI) and Autonomous Technologies (AAT).",,"Does the organization identify and document negative, residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers and end users of Artificial Intelligence (AI) and Autonomous Technologies (AAT)?"
Artificial & Autonomous Technologies,"Responsibility To Supersede, Deactivate and/or Disengage AI & Autonomous Technologies",AAT-15.2,"Mechanisms exist to define the criteria and responsible party(ies) for superseding, disengaging or deactivating Artificial Intelligence (AI) and Autonomous Technologies (AAT) that demonstrate performance or outcomes inconsistent with intended use.",,"Does the organization define the criteria and responsible party(ies) for superseding, disengaging or deactivating Artificial Intelligence (AI) and Autonomous Technologies (AAT) that demonstrate performance or outcomes inconsistent with intended use?"
Artificial & Autonomous Technologies,AI & Autonomous Technologies Production Monitoring,AAT-16,Mechanisms exist to monitor the functionality and behavior of the deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,,Does the organization monitor the functionality and behavior of the deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?
