SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Network Security,Approved Solutions,NET-04.11,"Automated mechanisms exist to examine information for the presence of unsanctioned information and prohibits the transfer of such information, when transferring information between different security domains.",,"Does the organization examine information for the presence of unsanctioned information and prohibits the transfer of such information, when transferring information between different security domains?"
Network Security,Cross Domain Authentication,NET-04.12,Automated mechanisms exist to uniquely identify and authenticate source and destination points for information transfer.,,Does the organization uniquely identify and authenticate source and destination points for information transfer?
Network Security,Metadata Validation,NET-04.13,Automated mechanisms exist to apply security and/or privacy filters on metadata.,,Does the organization apply security and/or privacy filters on metadata?
Network Security,System Interconnections,NET-05,"Mechanisms exist to authorize connections from systems to other systems using Interconnection Security Agreements (ISAs) that document, for each interconnection, the interface characteristics, cybersecurity and privacy requirements and the nature of the information communicated.",- VisibleOps security management,"Does the organization authorize connections from systems to other systems using Interconnection Security Agreements (ISAs) that document, for each interconnection, the interface characteristics, cybersecurity and privacy requirements and the nature of the information communicated?"
Network Security,External System Connections,NET-05.1,Mechanisms exist to prohibit the direct connection of a sensitive system to an external network without the use of an organization-defined boundary protection device. ,,Does the organization prohibit the direct connection of a sensitive system to an external network without the use of an organization-defined boundary protection device? 
Network Security,Internal System Connections,NET-05.2,"Mechanisms exist to control internal system connections through authorizing internal connections of systems and documenting, for each internal connection, the interface characteristics, security requirements and the nature of the information communicated.",,"Does the organization control internal system connections through authorizing internal connections of systems and documenting, for each internal connection, the interface characteristics, security requirements and the nature of the information communicated?"
Network Security,Network Segmentation,NET-06,"Mechanisms exist to ensure network architecture utilizes network segmentation to isolate systems, applications and services that protections from other network resources.","- Subnetting
- VLANs",Does the organization logically or physically segment information flows to accomplish network segmentation?
Network Security,Security Management Subnets,NET-06.1,Mechanisms exist to implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetworks with managed interfaces to other components of the system. ,,Does the organization implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetworks with managed interfaces to other components of the system? 
Network Security,Virtual Local Area Network (VLAN) Separation,NET-06.2,Mechanisms exist to enable Virtual Local Area Networks (VLANs) to limit the ability of devices on a network to directly communicate with other devices on the subnet and limit an attacker's ability to laterally move to compromise neighboring systems. ,- Virtual Local Area Network (VLAN),Does the organization enable Virtual Local Area Networks (VLANs) to limit the ability of devices on a network to directly communicate with other devices on the subnet and limit an attacker's ability to laterally move to compromise neighboring systems? 
Network Security,Sensitive / Regulated Data Enclave (Secure Zone),NET-06.3,Mechanisms exist to implement segmentation controls to restrict inbound and outbound connectivity for sensitive / regulated data enclaves (secure zones). ,,Does the organization implement segmentation controls to restrict inbound and outbound connectivity for sensitive / regulated data enclaves (secure zones)? 
Network Security,Segregation From Enterprise Services,NET-06.4,"Mechanisms exist to isolate sensitive / regulated data enclaves (secure zones) from corporate-provided IT resources by providing enclave-specific IT services (e.g., directory services, DNS, NTP, ITAM, antimalware, patch management, etc.) to those isolated network segments.",,"Does the organization isolate sensitive / regulated data enclaves (secure zones) from corporate-provided IT resources by providing enclave-specific IT services (e.g., directory services, DNS, NTP, ITAM, antimalware, patch management, etc.) to those isolated network segments?"
Network Security,Direct Internet Access Restrictions,NET-06.5,"Mechanisms exist to prohibit, or strictly-control, Internet access from sensitive / regulated data enclaves (secure zones).",,"Does the organization prohibit, or strictly-control, Internet access from sensitive / regulated data enclaves (secure zones)?"
Network Security,Remote Session Termination,NET-07,Mechanisms exist to terminate remote sessions at the end of the session or after an organization-defined time period of inactivity. ,,Does the organization terminate remote sessions at the end of the session or after an organization-defined time period of inactivity? 
Network Security,Network Intrusion Detection / Prevention Systems (NIDS / NIPS),NET-08,Mechanisms exist to employ Network Intrusion Detection / Prevention Systems (NIDS/NIPS) to detect and/or prevent intrusions into the network. ,,Are Network Intrusion Detection / Prevention Systems (NIDS/NIPS) used to detect and/or prevent intrusions into the network? 
Network Security,DMZ Networks,NET-08.1,Mechanisms exist to monitor De-Militarized Zone (DMZ) network segments to separate untrusted networks from trusted networks.,"- Architectural review board
- System Security Plan (SSP)",Does the organization monitor De-Militarized Zone (DMZ) network segments to separate untrusted networks from trusted networks?
Network Security,Wireless Intrusion Detection / Prevention Systems (WIDS / WIPS),NET-08.2,Mechanisms exist to monitor wireless network segments to implement Wireless Intrusion Detection / Prevention Systems (WIDS/WIPS) technologies.,,Does the organization monitor wireless network segments to implement Wireless Intrusion Detection / Prevention Systems (WIDS/WIPS) technologies?
Network Security,Session Integrity ,NET-09,Mechanisms exist to protect the authenticity and integrity of communications sessions. ,- PKI for non-repudiation,Does the organization protect the authenticity and integrity of communications sessions? 
Network Security,Invalidate Session Identifiers at Logout,NET-09.1,Automated mechanisms exist to invalidate session identifiers upon user logout or other session termination. ,,Does the organization invalidate session identifiers upon user logout or other session termination? 
Network Security,Unique System-Generated Session Identifiers,NET-09.2,Automated mechanisms exist to generate and recognize unique session identifiers for each session.,,Does the organization automatically generate and recognize unique session identifiers for each session?
Network Security,Domain Name Service (DNS) Resolution ,NET-10,"Mechanisms exist to ensure Domain Name Service (DNS) resolution is designed, implemented and managed to protect the security of name / address resolution.",,"Does the organization ensure Domain Name Service (DNS) resolution is designed, implemented and managed to protect the security of name / address resolution?"
Network Security,Architecture & Provisioning for Name / Address Resolution Service,NET-10.1,Mechanisms exist to ensure systems that collectively provide Domain Name Service (DNS) resolution service are fault-tolerant and implement internal/external role separation. ,,Does the organization ensure systems that collectively provide Domain Name Service (DNS) resolution service are fault-tolerant and implement internal/external role separation? 
Network Security,Secure Name / Address Resolution Service (Recursive or Caching Resolver),NET-10.2,Mechanisms exist to perform data origin authentication and data integrity verification on the Domain Name Service (DNS) resolution responses received from authoritative sources when requested by client systems. ,,Does the organization perform data origin authentication and data integrity verification on the Domain Name Service (DNS) resolution responses received from authoritative sources when requested by client systems? 
Network Security,Sender Policy Framework (SPF),NET-10.3,Mechanisms exist to validate the legitimacy of email communications through configuring a Domain Naming Service (DNS) Sender Policy Framework (SPF) record to specify the IP addresses and/or hostnames that are authorized to send email from the specified domain.,,Does the organization validate the legitimacy of email communications through configuring a Domain Naming Service (DNS) Sender Policy Framework (SPF) record to specify the IP addresses and/or hostnames that are authorized to send email from the specified domain?
Network Security,Domain Registrar Security,NET-10.4,"Mechanisms exist to lock the domain name registrar to prevent a denial of service caused by unauthorized deletion, transfer or other unauthorized modification of a domain’s registration details.",,"Does the organization lock the domain name registrar to prevent a denial of service caused by unauthorized deletion, transfer or other unauthorized modification of a domain’s registration details?"
Network Security,Out-of-Band Channels ,NET-11,Mechanisms exist to utilize out-of-band channels for the electronic transmission of information and/or the physical shipment of system components or devices to authorized individuals. ,- Signature delivery (courier service),Does the organization utilize out-of-band channels for the electronic transmission of information and/or the physical shipment of system components or devices to authorized individuals? 
Network Security,Safeguarding Data Over Open Networks ,NET-12,"Cryptographic mechanisms exist to implement strong cryptography and security protocols to safeguard sensitive/regulated data during transmission over open, public networks. ",,"Does the organization use strong cryptography and security protocols to safeguard sensitive/regulated data during transmission over open, public networks?"
Network Security,Wireless Link Protection,NET-12.1,"Mechanisms exist to protect external and internal wireless links from signal parameter attacks through monitoring for unauthorized wireless connections, including scanning for unauthorized wireless access points and taking appropriate action, if an unauthorized connection is discovered.",,"Does the organization protect external and internal wireless links from signal parameter attacks through monitoring for unauthorized wireless connections, including scanning for unauthorized wireless access points and taking appropriate action, if an unauthorized connection is discovered?"
Network Security,End-User Messaging Technologies,NET-12.2,Mechanisms exist to prohibit the transmission of unprotected sensitive/regulated data by end-user messaging technologies. ,"- Acceptable Use Policy (AUP)
- Data Loss Prevention (DLP)",Does the organization prohibit the transmission of unprotected sensitive/regulated data by end-user messaging technologies?
Network Security,Electronic Messaging,NET-13,"Mechanisms exist to protect the confidentiality, integrity and availability of electronic messaging communications.",,"Does the organization protect the confidentiality, integrity and availability of electronic messaging communications?"
Network Security,Remote Access ,NET-14,"Mechanisms exist to define, control and review organization-approved, secure remote access methods.",,"Does the organization define, control and review organization-approved, secure remote access methods?"
Network Security,Automated Monitoring & Control ,NET-14.1,Automated mechanisms exist to monitor and control remote access sessions. ,,Does the organization use automated mechanisms to monitor and control remote access sessions? 
Network Security,Protection of Confidentiality / Integrity Using Encryption,NET-14.2,"Cryptographic mechanisms exist to protect the confidentiality and integrity of remote access sessions (e.g., VPN). ",,"Does the organization cryptographically protect the confidentiality and integrity of remote access sessions (e.g., VPN)?"
Network Security,Managed Access Control Points,NET-14.3,"Mechanisms exist to route all remote accesses through managed network access control points (e.g., VPN concentrator).",,"Does the organization route all remote accesses through managed network access control points (e.g., VPN concentrator)?"
Network Security,Remote Privileged Commands & Sensitive Data Access,NET-14.4,Mechanisms exist to restrict the execution of privileged commands and access to security-relevant information via remote access only for compelling operational needs. ,,Does the organization restrict the execution of privileged commands and access to security-relevant information via remote access only for compelling operational needs? 
Network Security,Work From Anywhere (WFA) - Telecommuting Security,NET-14.5,Mechanisms exist to define secure telecommuting practices and govern remote access to systems and data for remote workers. ,,Does the organization define secure telecommuting practices and govern remote access to systems and data for remote workers? 
Network Security,Third-Party Remote Access Governance,NET-14.6,"Mechanisms exist to proactively control and monitor third-party accounts used to access, support, or maintain system components via remote access.",,"Does the organization proactively control and monitor third-party accounts used to access, support, or maintain system components via remote access?"
Network Security,Endpoint Security Validation ,NET-14.7,Mechanisms exist to validate software versions/patch levels and control remote devices connecting to corporate networks or storing and accessing organization information. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization validate software versions/patch levels and control remote devices connecting to corporate networks or storing and accessing organization information? 
Network Security,Expeditious Disconnect / Disable Capability ,NET-14.8,Mechanisms exist to provide the capability to expeditiously disconnect or disable a user's remote access session.,,Does the organization provide the capability to expeditiously disconnect or disable a user's remote access session?
Network Security,Wireless Networking ,NET-15,Mechanisms exist to control authorized wireless usage and monitor for unauthorized wireless access.,,Does the organization control authorized wireless usage and monitor for unauthorized wireless access?
Network Security,Authentication & Encryption,NET-15.1,Mechanisms exist to protect wireless access through authentication and strong encryption. ,,Are authentication and cryptographic mechanisms used to protect wireless access?
Network Security,Disable Wireless Networking,NET-15.2,Mechanisms exist to disable unnecessary wireless networking capabilities that are internally embedded within system components prior to issuance to end users. ,,Does the organization disable unnecessary wireless networking capabilities that are internally embedded within system components prior to issuance to end users? 
Network Security,Restrict Configuration By Users,NET-15.3,Mechanisms exist to identify and explicitly authorize users who are allowed to independently configure wireless networking capabilities. ,,Does the organization identify and explicitly authorize users who are allowed to independently configure wireless networking capabilities? 
Network Security,Wireless Boundaries,NET-15.4,Mechanisms exist to confine wireless communications to organization-controlled boundaries. ,,Does the organization confine wireless communications to organization-controlled boundaries? 
Network Security,Rogue Wireless Detection,NET-15.5,Mechanisms exist to test for the presence of Wireless Access Points (WAPs) and identify all authorized and unauthorized WAPs within the facility(ies). ,,Does the organization test for the presence of Wireless Access Points (WAPs) and identify all authorized and unauthorized WAPs within the facility(ies)? 
Network Security,Intranets,NET-16,"Mechanisms exist to establish trust relationships with other organizations owning, operating, and/or maintaining intranet systems, allowing authorized individuals to: 
 ▪ Access the intranet from external systems; and
 ▪ Process, store, and/or transmit organization-controlled information using the external systems.",,"Does the organization establish trust relationships with other organizations owning, operating, and/or maintaining intranet systems, allowing authorized individuals to: 
 ▪ Access the intranet from external systems; and
 ▪ Process, store, and/or transmit organization-controlled information using the external systems?"
Network Security,Data Loss Prevention (DLP) ,NET-17,"Automated mechanisms exist to implement Data Loss Prevention (DLP) to protect sensitive information as it is stored, transmitted and processed.",- Data Loss Prevention (DLP),"Is Data Loss Prevention (DLP) used to protect sensitive information as it is stored, transmitted and processed?"
Network Security,DNS & Content Filtering ,NET-18,Mechanisms exist to force Internet-bound network traffic through a proxy device for URL content filtering and DNS filtering to limit a user's ability to connect to dangerous or prohibited Internet sites.,,Does the organization force Internet-bound network traffic through a proxy device for URL content filtering and DNS filtering to limit a user's ability to connect to dangerous or prohibited Internet sites?
Network Security,Route Traffic to Proxy Servers,NET-18.1,Mechanisms exist to route internal communications traffic to external networks through organization-approved proxy servers at managed interfaces. ,,Does the organization route internal communications traffic to external networks through organization-approved proxy servers at managed interfaces? 
Network Security,Visibility of Encrypted Communications,NET-18.2,Mechanisms exist to configure the proxy to make encrypted communications traffic visible to monitoring tools and mechanisms.,,Does the organization configure the proxy to make encrypted communications traffic visible to monitoring tools and mechanisms?
Network Security,Route Privileged Network Access,NET-18.3,"Automated mechanisms exist to route networked, privileged accesses through a dedicated, managed interface for purposes of access control and auditing.",,"Does the organization route networked, privileged accesses through a dedicated, managed interface for purposes of access control and auditing?"
Physical & Environmental Security ,Physical & Environmental Protections,PES-01,Mechanisms exist to facilitate the operation of physical and environmental protection controls. ,,Does the organization facilitate the operation of physical and environmental protection controls? 
Physical & Environmental Security ,Site Security Plan (SitePlan),PES-01.1,"Mechanisms exist to document a Site Security Plan (SitePlan) for each server and communications room to summarize the implemented security controls to protect physical access to technology assets, as well as applicable risks and threats.",,"Does the organization document a Site Security Plan (SitePlan) for each server and communications room to summarize the implemented security controls to protect physical access to technology assets, as well as applicable risks and threats?"
Physical & Environmental Security ,Physical Access Authorizations ,PES-02,Physical access control mechanisms exist to maintain a current list of personnel with authorized access to organizational facilities (except for those areas within the facility officially designated as publicly accessible).,,Does the organization maintain a current list of personnel with authorized access to organizational facilities (except for those areas within the facility officially designated as publicly accessible)?
Physical & Environmental Security ,Role-Based Physical Access,PES-02.1,Physical access control mechanisms exist to authorize physical access to facilities based on the position or role of the individual.,,Does the organization authorize physical access to facilities based on the position or role of the individual?
Physical & Environmental Security ,Dual Authorization for Physical Access,PES-02.2,"Mechanisms exist to enforce a ""two-person rule"" for physical access by requiring two authorized individuals with separate access cards, keys or PINs, to access highly-sensitive areas (e.g., safe, high-security cage, etc.).",,"Does the organization enforce a ""two-person rule"" for physical access by requiring two authorized individuals with separate access cards, keys or PINs, to access highly-sensitive areas (e.g., safe, high-security cage, etc.?)?"
Physical & Environmental Security ,Physical Access Control ,PES-03,Physical access control mechanisms exist to enforce physical access authorizations for all physical access points (including designated entry/exit points) to facilities (excluding those areas within the facility officially designated as publicly accessible).,"- Security guards
- Verify individual access authorizations before granting access to the facility.
- Control entry to the facility containing the system using physical access devices and/or guards.
- Control access to areas officially designated as publicly accessible in accordance with the organization’s assessment of risk.
- Secure keys, combinations and other physical access devices.
- Change combinations and keys and when keys are lost, combinations are compromised or individuals are transferred or terminated.",Does the organization enforce physical access authorizations for all physical access points (including designated entry/exit points) to facilities (excluding those areas within the facility officially designated as publicly accessible)?
Physical & Environmental Security ,Controlled Ingress & Egress Points,PES-03.1,Physical access control mechanisms exist to limit and monitor physical access through controlled ingress and egress points.,,Does the organization limit and monitor physical access through controlled ingress and egress points?
Physical & Environmental Security ,Lockable Physical Casings,PES-03.2,"Physical access control mechanisms exist to protect system components from unauthorized physical access (e.g., lockable physical casings). ","- CCTV
- Lockable server/network racks
- Logged access badges to access server rooms","Does the organization protect system components from unauthorized physical access (e.g., lockable physical casings)? "
Physical & Environmental Security ,Physical Access Logs ,PES-03.3,Physical access control mechanisms exist to generate a log entry for each access through controlled ingress and egress points.,"- Visitor logbook
- iLobby (https://goilobby.com/)
- The Receptionist (https://thereceptionist.com/)
- LobbyGuard (http://lobbyguard.com/)",Does the organization generate a log entry for each access through controlled ingress and egress points?
Physical & Environmental Security ,Access To Information Systems,PES-03.4,"Physical access control mechanisms exist to enforce physical access to critical information systems or sensitive/regulated data, in addition to the physical access controls for the facility.",,"Does the organization enforce physical access to critical information systems or sensitive/regulated data, in addition to the physical access controls for the facility?"
Physical & Environmental Security ,"Physical Security of Offices, Rooms & Facilities",PES-04,"Mechanisms exist to identify systems, equipment and respective operating environments that require limited physical access so that appropriate physical access controls are designed and implemented for offices, rooms and facilities. ","- ""clean desk"" policy
- Management spot checks","Are physical access controls designed and implemented for offices, rooms and facilities?"
Physical & Environmental Security ,Working in Secure Areas,PES-04.1,Physical security mechanisms exist to allow only authorized personnel access to secure areas. ,- Visitor escorts,Does the organization allow only authorized personnel access to secure areas? 
Physical & Environmental Security ,Searches,PES-04.2,"Physical access control mechanisms exist to inspect personnel and their personal effects (e.g., personal property ordinarily worn or carried by the individual, including vehicles) to prevent the unauthorized exfiltration of data and technology assets.",,"Does the organization inspect personnel and their personal effects (e.g., personal property ordinarily worn or carried by the individual, including vehicles) to prevent the unauthorized exfiltration of data and technology assets?"
Physical & Environmental Security ,Temporary Storage,PES-04.3,"Physical access control mechanisms exist to temporarily store undelivered packages or deliveries in a dedicated, secure area (e.g., security cage, secure room) that is locked, access-controlled and monitored with surveillance cameras and/or security guards.",,"Does the organization temporarily store undelivered packages or deliveries in a dedicated, secure area (e.g., security cage, secure room) that is locked, access-controlled and monitored with surveillance cameras and/or security guards?"
Physical & Environmental Security ,Monitoring Physical Access,PES-05,"Physical access control mechanisms exist to monitor for, detect and respond to physical security incidents.",,"Does the organization monitor for, detect and respond to physical security incidents?"
Physical & Environmental Security ,Intrusion Alarms / Surveillance Equipment ,PES-05.1,Physical access control mechanisms exist to monitor physical intrusion alarms and surveillance equipment. ,- CCTV,Does the organization monitor physical intrusion alarms and surveillance equipment? 
Physical & Environmental Security ,Monitoring Physical Access To Information Systems,PES-05.2,"Facility security mechanisms exist to monitor physical access to critical information systems or sensitive/regulated data, in addition to the physical access monitoring of the facility.",,"Does the organization monitor physical access to critical information systems or sensitive/regulated data, in addition to the physical access monitoring of the facility?"
Physical & Environmental Security ,Visitor Control,PES-06,"Physical access control mechanisms exist to identify, authorize and monitor visitors before allowing access to the facility (other than areas designated as publicly accessible). ","- Visitor logbook
- iLobby (https://goilobby.com/)
- The Receptionist (https://thereceptionist.com/)
- LobbyGuard (http://lobbyguard.com/)","Does the organization identify, authorize and monitor visitors before allowing access to the facility (other than areas designated as publicly accessible)? "
Physical & Environmental Security ,Distinguish Visitors from On-Site Personnel,PES-06.1,"Physical access control mechanisms exist to easily distinguish between onsite personnel and visitors, especially in areas where sensitive/regulated data is accessible. ","- Visible badges for visitors that are different from organizational personnel
","Does the organization easily distinguish between onsite personnel and visitors, especially in areas where sensitive/regulated data is accessible?"
Physical & Environmental Security ,Identification Requirement,PES-06.2,Physical access control mechanisms exist to requires at least one (1) form of government-issued photo identification to authenticate individuals before they can gain access to the facility.,,Does the organization requires at least one (1) form of government-issued photo identification to authenticate individuals before they can gain access to the facility?
Physical & Environmental Security ,Restrict Unescorted Access,PES-06.3,"Physical access control mechanisms exist to restrict unescorted access to facilities to personnel with required security clearances, formal access authorizations and validate the need for access. ",,"Does the organization restrict unescorted access to facilities to personnel with required security clearances, formal access authorizations and validate the need for access? "
Physical & Environmental Security ,Automated Records Management & Review,PES-06.4,Automated mechanisms exist to facilitate the maintenance and review of visitor access records.,,Does the organization facilitate the maintenance and review of visitor access records?
Physical & Environmental Security ,Minimize Visitor Personal Data (PD),PES-06.5,Mechanisms exist to minimize the collection of Personal Data (PD) contained in visitor access records.,,Does the organization minimize the collection of Personal Data (PD) contained in visitor access records?
Physical & Environmental Security ,Visitor Access Revocation,PES-06.6,"Mechanisms exist to ensure visitor badges, or other issued identification, are surrendered before visitors leave the facility or are deactivated at a pre-determined time/date of expiration.",,"Does the organization ensure visitor badges, or other issued identification, are surrendered before visitors leave the facility or are deactivated at a pre-determined time/date of expiration?"
Physical & Environmental Security ,Supporting Utilities ,PES-07,Facility security mechanisms exist to protect power equipment and power cabling for the system from damage and destruction. ,,Does the organization protect power equipment and power cabling for the system from damage and destruction? 
Physical & Environmental Security ,Automatic Voltage Controls,PES-07.1,Facility security mechanisms exist to utilize automatic voltage controls for critical system components. ,,Does the organization utilize automatic voltage controls for critical system components? 
Physical & Environmental Security ,Emergency Shutoff,PES-07.2,"Facility security mechanisms exist to shut off power in emergency situations by:
 ▪ Placing emergency shutoff switches or devices in close proximity to systems or system components to facilitate safe and easy access for personnel; and
 ▪ Protecting emergency power shutoff capability from unauthorized activation.",,"Does the organization shut off power in emergency situations by:
 ▪ Placing emergency shutoff switches or devices in close proximity to systems or system components to facilitate safe and easy access for personnel; and
 ▪ Protecting emergency power shutoff capability from unauthorized activation?"
Physical & Environmental Security ,Emergency Power,PES-07.3,"Facility security mechanisms exist to supply alternate power, capable of maintaining minimally-required operational capability, in the event of an extended loss of the primary power source.",,"Does the organization protect supply long-term alternate power, capable of maintaining minimally-required operational capability, in the event of an extended loss of the primary power source?"
Physical & Environmental Security ,Emergency Lighting,PES-07.4,Facility security mechanisms exist to utilize and maintain automatic emergency lighting that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility. ,,Does the organization utilize and maintain automatic emergency lighting that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility? 
Physical & Environmental Security ,Water Damage Protection,PES-07.5,"Facility security mechanisms exist to protect systems from damage resulting from water leakage by providing master shutoff valves that are accessible, working properly and known to key personnel. ","- Water leak sensors
- Humidity sensors","Does the organization protect systems from damage resulting from water leakage by providing master shutoff valves that are accessible, working properly and known to key personnel? "
Physical & Environmental Security ,Automation Support for Water Damage Protection,PES-07.6,Facility security mechanisms exist to detect the presence of water in the vicinity of critical information systems and alert facility maintenance and IT personnel. ,,Does the organization detect the presence of water in the vicinity of critical information systems and alert facility maintenance and IT personnel? 
Physical & Environmental Security ,Redundant Cabling,PES-07.7,Mechanisms exist to employ redundant power cabling paths that are physically separated to ensure that power continues to flow in the event one of the cables is cut or otherwise damaged.,,Does the organization employ redundant power cabling paths that are physically separated to ensure that power continues to flow in the event one of the cables is cut or otherwise damaged?
